,Mkt-RF,SMB,HML,RMW,CMA,RF
201502,6.14,0.36,-1.79,-1.10,-1.75,0.00
201503,-1.09,3.08,-0.38,0.07,-0.62,0.00
201504,0.60,-3.01,1.80,0.05,-0.62,0.00
201505,1.38,0.82,-1.11,-1.76,-0.83,0.00
201506,-1.54,2.90,-0.82,0.35,-1.54,0.00
201507,1.57,-4.58,-4.16,0.31,-2.44,0.00
201508,-6.02,0.29,2.75,0.66,1.29,0.00
201509,-3.06,-2.80,0.55,1.80,-0.59,0.00
201510,7.75,-2.06,-0.47,0.95,0.61,0.00
201511,0.57,3.30,-0.43,-2.65,-1.06,0.00
201512,-2.15,-2.95,-2.57,0.34,0.12,0.01
201601,-5.74,-3.44,2.08,2.78,3.05,0.01
201602,-0.07,0.87,-0.61,3.31,1.94,0.02
201603,6.95,1.00,1.22,0.68,0.01,0.02
201604,0.91,1.23,3.22,-2.85,1.77,0.01
201605,1.78,-0.62,-1.62,-1.10,-2.54,0.01
201606,-0.03,0.42,-1.49,1.45,1.90,0.02
201607,3.94,2.47,-1.24,1.31,-1.16,0.02
201608,0.49,1.66,3.17,-1.85,-0.36,0.02
201609,0.27,1.81,-1.19,-2.18,0.03,0.02
201610,-2.01,-4.02,4.11,0.99,0.25,0.02
201611,4.85,6.96,8.29,-0.24,3.71,0.01
201612,1.81,0.44,3.47,1.24,-0.32,0.03
201701,1.94,-1.44,-2.76,-0.51,-1.06,0.04
201702,3.55,-2.30,-1.50,0.45,-1.80,0.04
201703,0.17,0.75,-3.33,0.63,-0.95,0.03
201704,1.08,0.41,-2.05,1.79,-1.60,0.05
201705,1.07,-2.99,-3.82,0.99,-1.66,0.06
201706,0.78,2.52,1.50,-2.26,0.04,0.06
201707,1.88,-1.64,-0.23,-0.75,-0.15,0.07
201708,0.18,-1.83,-2.13,0.20,-2.38,0.09
201709,2.49,4.76,3.15,-1.54,1.63,0.09
201710,2.25,-1.91,0.13,0.92,-3.14,0.09
201711,3.12,-0.38,-0.09,3.19,-0.10,0.08
201712,1.06,-1.05,0.05,0.73,1.79,0.09
201801,5.58,-3.21,-1.32,-0.75,-1.05,0.11
201802,-3.64,0.34,-1.10,0.53,-2.36,0.11
201803,-2.35,3.61,-0.21,-0.41,0.08,0.12
201804,0.29,0.89,0.53,-2.42,1.24,0.14
201805,2.63,4.71,-3.14,-1.98,-1.49,0.14
201806,0.49,0.77,-2.33,0.83,0.20,0.14
201807,3.20,-1.93,0.49,1.53,0.31,0.16
201808,3.46,0.65,-3.91,-0.29,-2.57,0.16
201809,0.06,-2.49,-1.62,0.65,1.36,0.15
201810,-7.64,-4.38,3.38,1.03,3.60,0.19
201811,1.71,-0.81,0.36,-0.61,0.40,0.18
201812,-9.55,-2.81,-1.92,-0.03,0.24,0.19
201901,8.36,2.91,-0.39,-0.73,-1.65,0.21
201902,3.42,1.72,-2.66,0.16,-1.54,0.18
201903,1.10,-3.52,-4.14,0.88,-0.90,0.19
201904,3.97,-1.15,2.13,1.61,-2.18,0.21
201905,-6.92,-1.56,-2.45,-0.48,1.76,0.21
201906,6.92,0.37,-0.64,0.89,-0.42,0.18
201907,1.22,-1.82,0.50,-0.13,0.37,0.19
201908,-2.55,-3.25,-4.77,0.53,-0.62,0.16
201909,1.42,0.29,6.76,1.82,3.38,0.18
201910,2.07,0.25,-1.92,0.43,-1.03,0.15
